Model,Recall@10,MRR,NDCG@10
TF-IDF,0.28656666666666664,0.18090079365079365,0.21754796155473025
Semantic Search,0.33615238095238087,0.24573015873015874,0.2796114249751095
Semantic + ML Ranking,,,
